creator_id,platform,content_type,time_slot,avg_engagement
1,Instagram,SHORT,0,0.476
1,Instagram,SHORT,1,0.469
1,Instagram,SHORT,2,0.859
1,Instagram,SHORT,3,0.613
1,Instagram,SHORT,4,0.904
1,Instagram,SHORT,5,1.003
1,Instagram,SHORT,6,0.553
1,Instagram,SHORT,7,0.93
1,Instagram,SHORT,8,0.606
1,Instagram,SHORT,9,0.802
1,Instagram,SHORT,10,1.167
1,Instagram,SHORT,11,1.115
1,Instagram,SHORT,12,0.456
1,Instagram,SHORT,13,0.746
1,Instagram,SHORT,14,0.617
1,Instagram,SHORT,15,0.378
1,Instagram,SHORT,16,1.05
1,Instagram,SHORT,17,0.932
1,Instagram,SHORT,18,0.604
1,Instagram,SHORT,19,1.024
1,Instagram,SHORT,20,0.858
1,Instagram,SHORT,21,0.749
1,Instagram,SHORT,22,0.383
1,Instagram,SHORT,23,0.441
1,Instagram,LONG,0,0.78
1,Instagram,LONG,1,0.793
1,Instagram,LONG,2,0.58
1,Instagram,LONG,3,0.752
1,Instagram,LONG,4,0.602
1,Instagram,LONG,5,0.343
1,Instagram,LONG,6,0.331
1,Instagram,LONG,7,0.438
1,Instagram,LONG,8,0.79
1,Instagram,LONG,9,0.729
1,Instagram,LONG,10,0.767
1,Instagram,LONG,11,0.79
1,Instagram,LONG,12,0.38
1,Instagram,LONG,13,0.403
1,Instagram,LONG,14,0.316
1,Instagram,LONG,15,0.719
1,Instagram,LONG,16,0.781
1,Instagram,LONG,17,0.497
1,Instagram,LONG,18,0.624
1,Instagram,LONG,19,0.347
1,Instagram,LONG,20,0.808
1,Instagram,LONG,21,0.769
1,Instagram,LONG,22,0.836
1,Instagram,LONG,23,0.737
1,YouTube,SHORT,0,0.779
1,YouTube,SHORT,1,0.27
1,YouTube,SHORT,2,0.693
1,YouTube,SHORT,3,0.453
1,YouTube,SHORT,4,0.809
1,YouTube,SHORT,5,0.732
1,YouTube,SHORT,6,0.769
1,YouTube,SHORT,7,0.737
1,YouTube,SHORT,8,0.414
1,YouTube,SHORT,9,0.723
1,YouTube,SHORT,10,0.319
1,YouTube,SHORT,11,0.774
1,YouTube,SHORT,12,0.766
1,YouTube,SHORT,13,0.387
1,YouTube,SHORT,14,0.741
1,YouTube,SHORT,15,0.529
1,YouTube,SHORT,16,0.437
1,YouTube,SHORT,17,0.728
1,YouTube,SHORT,18,0.39
1,YouTube,SHORT,19,0.269
1,YouTube,SHORT,20,0.37
1,YouTube,SHORT,21,0.45
1,YouTube,SHORT,22,0.769
1,YouTube,SHORT,23,0.83
1,YouTube,LONG,0,0.619
1,YouTube,LONG,1,0.936
1,YouTube,LONG,2,0.725
1,YouTube,LONG,3,1.234
1,YouTube,LONG,4,0.844
1,YouTube,LONG,5,1.197
1,YouTube,LONG,6,0.476
1,YouTube,LONG,7,1.224
1,YouTube,LONG,8,0.531
1,YouTube,LONG,9,1.217
1,YouTube,LONG,10,0.607
1,YouTube,LONG,11,0.47
1,YouTube,LONG,12,0.755
1,YouTube,LONG,13,1.012
1,YouTube,LONG,14,0.649
1,YouTube,LONG,15,0.905
1,YouTube,LONG,16,0.822
1,YouTube,LONG,17,0.712
1,YouTube,LONG,18,0.88
1,YouTube,LONG,19,0.598
1,YouTube,LONG,20,0.995
1,YouTube,LONG,21,0.376
1,YouTube,LONG,22,1.185
1,YouTube,LONG,23,0.846
2,Instagram,SHORT,0,1.005
2,Instagram,SHORT,1,1.024
2,Instagram,SHORT,2,0.962
2,Instagram,SHORT,3,0.694
2,Instagram,SHORT,4,0.436
2,Instagram,SHORT,5,0.956
2,Instagram,SHORT,6,0.664
2,Instagram,SHORT,7,0.65
2,Instagram,SHORT,8,1.117
2,Instagram,SHORT,9,1.005
2,Instagram,SHORT,10,0.638
2,Instagram,SHORT,11,0.646
2,Instagram,SHORT,12,0.732
2,Instagram,SHORT,13,0.727
2,Instagram,SHORT,14,0.634
2,Instagram,SHORT,15,0.486
2,Instagram,SHORT,16,0.743
2,Instagram,SHORT,17,1.198
2,Instagram,SHORT,18,0.968
2,Instagram,SHORT,19,1.165
2,Instagram,SHORT,20,0.914
2,Instagram,SHORT,21,0.638
2,Instagram,SHORT,22,0.854
2,Instagram,SHORT,23,0.375
2,Instagram,LONG,0,0.426
2,Instagram,LONG,1,0.511
2,Instagram,LONG,2,0.6
2,Instagram,LONG,3,0.645
2,Instagram,LONG,4,0.532
2,Instagram,LONG,5,0.518
2,Instagram,LONG,6,0.382
2,Instagram,LONG,7,0.537
2,Instagram,LONG,8,0.791
2,Instagram,LONG,9,0.729
2,Instagram,LONG,10,0.356
2,Instagram,LONG,11,0.305
2,Instagram,LONG,12,0.562
2,Instagram,LONG,13,0.632
2,Instagram,LONG,14,0.454
2,Instagram,LONG,15,0.742
2,Instagram,LONG,16,0.702
2,Instagram,LONG,17,0.655
2,Instagram,LONG,18,0.389
2,Instagram,LONG,19,0.373
2,Instagram,LONG,20,0.27
2,Instagram,LONG,21,0.401
2,Instagram,LONG,22,0.538
2,Instagram,LONG,23,0.761
2,YouTube,SHORT,0,0.298
2,YouTube,SHORT,1,0.502
2,YouTube,SHORT,2,0.63
2,YouTube,SHORT,3,0.371
2,YouTube,SHORT,4,0.669
2,YouTube,SHORT,5,0.549
2,YouTube,SHORT,6,0.4
2,YouTube,SHORT,7,0.645
2,YouTube,SHORT,8,0.258
2,YouTube,SHORT,9,0.702
2,YouTube,SHORT,10,0.713
2,YouTube,SHORT,11,0.318
2,YouTube,SHORT,12,0.508
2,YouTube,SHORT,13,0.36
2,YouTube,SHORT,14,0.825
2,YouTube,SHORT,15,0.563
2,YouTube,SHORT,16,0.285
2,YouTube,SHORT,17,0.403
2,YouTube,SHORT,18,0.76
2,YouTube,SHORT,19,0.527
2,YouTube,SHORT,20,0.732
2,YouTube,SHORT,21,0.652
2,YouTube,SHORT,22,0.843
2,YouTube,SHORT,23,0.609
2,YouTube,LONG,0,1.206
2,YouTube,LONG,1,1.155
2,YouTube,LONG,2,0.911
2,YouTube,LONG,3,1.004
2,YouTube,LONG,4,0.817
2,YouTube,LONG,5,1.102
2,YouTube,LONG,6,0.854
2,YouTube,LONG,7,1.16
2,YouTube,LONG,8,1.026
2,YouTube,LONG,9,0.79
2,YouTube,LONG,10,0.602
2,YouTube,LONG,11,0.591
2,YouTube,LONG,12,0.933
2,YouTube,LONG,13,1.045
2,YouTube,LONG,14,0.831
2,YouTube,LONG,15,0.923
2,YouTube,LONG,16,0.615
2,YouTube,LONG,17,0.443
2,YouTube,LONG,18,0.625
2,YouTube,LONG,19,0.613
2,YouTube,LONG,20,0.655
2,YouTube,LONG,21,0.848
2,YouTube,LONG,22,0.496
2,YouTube,LONG,23,0.577
3,Instagram,SHORT,0,0.982
3,Instagram,SHORT,1,0.993
3,Instagram,SHORT,2,0.431
3,Instagram,SHORT,3,0.732
3,Instagram,SHORT,4,0.85
3,Instagram,SHORT,5,0.739
3,Instagram,SHORT,6,0.556
3,Instagram,SHORT,7,0.743
3,Instagram,SHORT,8,1.167
3,Instagram,SHORT,9,0.886
3,Instagram,SHORT,10,0.984
3,Instagram,SHORT,11,1.125
3,Instagram,SHORT,12,1.045
3,Instagram,SHORT,13,0.708
3,Instagram,SHORT,14,0.38
3,Instagram,SHORT,15,0.683
3,Instagram,SHORT,16,1.034
3,Instagram,SHORT,17,1.122
3,Instagram,SHORT,18,1.209
3,Instagram,SHORT,19,0.742
3,Instagram,SHORT,20,1.029
3,Instagram,SHORT,21,0.853
3,Instagram,SHORT,22,0.903
3,Instagram,SHORT,23,0.568
3,Instagram,LONG,0,0.386
3,Instagram,LONG,1,0.514
3,Instagram,LONG,2,0.272
3,Instagram,LONG,3,0.455
3,Instagram,LONG,4,0.659
3,Instagram,LONG,5,0.496
3,Instagram,LONG,6,0.353
3,Instagram,LONG,7,0.533
3,Instagram,LONG,8,0.331
3,Instagram,LONG,9,0.625
3,Instagram,LONG,10,0.271
3,Instagram,LONG,11,0.489
3,Instagram,LONG,12,0.591
3,Instagram,LONG,13,0.271
3,Instagram,LONG,14,0.637
3,Instagram,LONG,15,0.336
3,Instagram,LONG,16,0.53
3,Instagram,LONG,17,0.285
3,Instagram,LONG,18,0.481
